id,label
1,2
2,0
3,0
4,2
5,1
6,0
7,0
8,0
9,2
10,0
11,2
12,2
13,2
14,0
15,2
16,1
17,0
18,0
19,0
20,0
21,0
22,2
23,2
24,0
25,2
26,0
27,2
28,2
29,2
30,2
31,1
32,0
33,1
34,2
35,1
36,0
37,0
38,2
39,1
40,1
41,1
42,0
43,0
44,1
45,0
46,0
47,1
48,0
49,1
50,1
51,2
52,1
53,0
54,2
55,1
56,2
57,0
58,1
59,0
60,2
61,1
62,2
63,2
64,1
65,2
66,0
67,2
68,0
69,0
70,2
71,0
72,1
73,0
74,0
75,0
76,1
77,1
78,1
79,2
80,1
81,0
82,1
83,1
84,0
85,2
86,1
87,2
88,2
89,2
90,0
91,2
92,2
93,0
94,2
95,2
96,0
97,0
98,1
99,1
100,1
101,2
102,2
103,2
104,0
105,2
106,1
107,0
108,0
109,0
110,1
111,1
112,1
113,0
114,0
115,2
116,2
117,1
118,0
119,2
120,1
121,1
122,2
123,1
124,0
125,1
126,0
127,0
128,2
129,2
130,2
131,1
132,2
133,2
134,1
135,2
136,1
137,1
138,0
139,0
140,2
141,1
142,0
143,0
144,0
145,0
146,2
147,0
148,2
149,1
150,2
151,0
152,1
153,1
154,2
155,1
156,2
157,1
158,2
159,0
160,2
161,2
162,0
163,2
164,2
165,1
166,2
167,1
168,0
169,1
170,1
171,0
172,1
173,0
174,2
175,2
176,1
177,2
178,0
179,2
180,0
181,2
182,1
183,2
184,2
185,2
186,0
187,0
188,1
189,0
190,2
191,2
192,0
193,2
194,1
195,1
196,0
197,0
198,1
199,1
200,0
201,0
202,0
203,2
204,0
205,0
206,2
207,1
208,0
209,2
210,0
211,0
212,2
213,1
214,2
215,0
216,1
217,2
218,2
219,1
220,0
221,2
222,2
223,2
224,0
225,2
226,1
227,1
228,2
229,2
230,1
231,1
232,2
233,1
234,0
235,0
236,0
237,0
238,1
239,0
240,2
241,2
242,0
243,2
244,0
245,0
246,0
247,2
248,2
249,0
250,0
251,0
252,0
253,1
254,0
255,2
256,0
257,1
258,2
259,1
260,0
261,2
262,0
263,2
264,2
265,2
266,1
267,0
268,1
269,1
270,0
271,0
272,0
273,2
274,1
275,1
276,1
277,1
278,1
279,2
280,0
281,2
282,2
283,2
284,0
285,0
286,1
287,2
288,1
289,0
290,0
291,0
292,0
293,2
294,1
295,0
296,1
297,0
298,1
299,1
300,0
301,0
302,1
303,2
304,0
305,0
306,2
307,2
308,0
309,0
310,0
311,0
312,1
313,1
314,1
315,0
316,1
317,0
318,0
319,1
320,0
321,1
322,1
323,1
324,1
325,1
326,2
327,2
328,2
329,2
330,2
331,1
332,0
333,0
334,1
335,0
336,0
337,2
338,2
339,2
340,0
341,2
342,1
343,0
344,0
345,2
346,1
347,2
348,2
349,0
350,0
351,2
352,0
353,0
354,0
355,2
356,0
357,2
358,0
359,1
360,0
361,2
362,0
363,2
364,2
365,0
366,2
367,0
368,1
369,2
370,2
371,2
372,2
373,1
374,1
375,0
376,2
377,2
378,1
379,0
380,1
381,1
382,0
383,2
384,2
385,1
386,1
387,1
388,0
389,0
390,1
391,2
392,2
393,0
394,0
395,2
396,0
397,2
398,1
399,0
400,1
401,0
402,0
403,1
404,1
405,0
406,1
407,2
408,2
409,1
410,2
411,2
412,2
413,0
414,2
415,2
416,1
417,2
418,0
419,0
420,1
421,0
422,0
423,2
424,2
425,0
426,1
427,1
428,2
429,0
430,2
431,1
432,0
433,2
434,2
435,1
436,2
437,1
438,1
439,0
440,0
441,2
442,1
443,1
444,0
445,0
446,1
447,0
448,2
449,1
450,0
451,2
452,1
453,2
454,2
455,1
456,2
457,0
458,0
459,0
460,2
461,0
462,2
463,0
464,1
465,2
466,2
467,0
468,1
469,0
470,0
471,1
472,1
473,0
474,1
475,0
476,2
477,0
478,2
479,0
480,1
481,2
482,1
483,2
484,2
485,0
486,0
487,0
488,0
489,1
490,0
491,0
492,2
493,1
494,1
495,2
496,2
497,0
498,1
499,0
500,2
501,0
502,1
503,0
504,1
505,0
506,0
507,1
508,1
509,1
510,0
511,0
512,0
513,2
514,0
515,1
516,1
517,1
518,0
519,1
520,1
521,2
522,2
523,1
524,2
525,2
526,1
527,0
528,0
529,1
530,0
531,2
532,1
533,0
534,0
535,2
536,1
537,1
538,2
539,1
540,1
541,2
542,2
543,0
544,1
545,2
546,0
547,1
548,0
549,2
550,1
551,0
552,2
553,2
554,2
555,2
556,2
557,2
558,2
559,0
560,1
561,1
562,0
563,2
564,1
565,2
566,1
567,2
568,0
569,2
570,1
571,2
572,1
573,2
574,1
575,1
576,1
577,2
578,1
579,2
580,0
581,0
582,1
583,2
584,1
585,2
586,2
587,0
588,2
589,2
590,1
591,1
592,2
593,0
594,1
595,1
596,0
597,1
598,2
599,2
600,2
601,1
602,1
603,1
604,1
605,2
606,0
607,2
608,1
609,2
610,0
611,2
612,0
613,1
614,2
615,2
616,2
617,2
618,1
619,0
620,0
621,2
622,1
623,0
624,0
625,0
626,0
627,0
628,0
629,1
630,2
631,0
632,1
633,1
634,2
635,2
636,0
637,2
638,2
639,1
640,1
641,1
642,0
643,0
644,2
645,2
646,0
647,0
648,1
649,0
650,0
651,2
652,2
653,1
654,0
655,2
656,0
657,0
658,1
659,0
660,1
661,2
662,2
663,2
664,2
665,1
666,1
667,2
668,2
669,2
670,1
671,2
672,1
673,0
674,2
675,1
676,1
677,1
678,0
679,2
680,1
681,2
682,1
683,2
684,0
685,1
686,1
687,0
688,2
689,1
690,0
691,1
692,1
693,1
694,2
695,0
696,0
697,0
698,0
699,1
700,2
701,0
702,2
703,0
704,0
705,1
706,1
707,1
708,2
709,1
710,1
711,0
712,0
713,1
714,1
715,2
716,2
717,0
718,2
719,1
720,1
721,0
722,1
723,1
724,1
725,1
726,2
727,2
728,2
729,2
730,2
731,0
732,1
733,0
734,1
735,1
736,1
737,0
738,1
739,1
740,2
741,2
742,1
743,2
744,0
745,1
746,0
747,2
748,2
749,0
750,1
751,2
752,2
753,2
754,0
755,0
756,2
757,1
758,0
759,1
760,0
761,0
762,1
763,1
764,1
765,0
766,1
767,1
768,1
769,1
770,1
771,1
772,1
773,0
774,1
775,0
776,2
777,2
778,0
779,1
780,0
781,2
782,0
783,2
784,0
785,0
786,0
787,0
788,0
789,2
790,0
791,0
792,0
793,1
794,2
795,0
796,2
797,0
798,1
799,2
800,1
801,1
802,0
803,2
804,2
805,2
806,2
807,0
808,0
809,1
810,0
811,2
812,0
813,1
814,2
815,2
816,1
817,1
818,2
819,0
820,0
821,2
822,2
823,2
824,0
825,0
826,2
827,1
828,2
829,2
830,0
831,2
832,0
833,1
834,2
835,1
836,2
837,1
838,0
839,2
840,2
841,1
842,0
843,1
844,1
845,0
846,1
847,1
848,2
849,1
850,2
851,0
852,1
853,0
854,2
855,2
856,2
857,1
858,2
859,2
860,1
861,1
862,1
863,2
864,2
865,1
866,1
867,0
868,0
869,1
870,1
871,0
872,1
873,2
874,2
875,2
876,1
877,1
878,0
879,1
880,1
881,0
882,1
883,0
884,1
885,1
886,1
887,1
888,2
889,2
890,1
891,2
892,0
893,2
894,0
895,0
896,0
897,2
898,1
899,1
900,2
901,0
902,2
903,1
904,2
905,2
906,1
907,1
908,0
909,0
910,1
911,0
912,1
913,2
914,0
915,1
916,2
917,2
918,1
919,1
920,2
921,2
922,1
923,1
924,2
925,2
926,1
927,1
928,2
929,1
930,1
931,1
932,1
933,0
934,0
935,2
936,0
937,1
938,0
939,2
940,2
941,2
942,0
943,0
944,0
945,2
946,1
947,1
948,2
949,2
950,2
951,2
952,1
953,0
954,0
955,1
956,0
957,1
958,0
959,1
960,0
961,2
962,2
963,0
964,1
965,0
966,0
967,2
968,1
969,2
970,0
971,2
972,1
973,0
974,0
975,2
976,1
977,1
978,1
979,1
980,1
981,0
982,0
983,1
984,1
985,0
986,0
987,1
988,1
989,0
990,2
991,2
992,2
993,0
994,0
995,0
996,2
997,1
998,0
999,0
1000,0
1001,2
1002,1
1003,2
1004,2
1005,2
1006,0
1007,2
1008,1
1009,1
1010,1
1011,1
1012,2
1013,1
1014,1
1015,2
1016,2
1017,0
1018,2
1019,2
1020,0
1021,0
1022,2
1023,0
1024,1
1025,2
1026,0
1027,0
1028,0
1029,0
1030,2
1031,0
1032,0
1033,0
1034,1
1035,1
1036,2
1037,2
1038,1
1039,1
1040,0
1041,0
1042,1
1043,2
1044,1
1045,2
1046,1
1047,0
1048,2
1049,0
1050,1
1051,2
1052,2
1053,2
1054,0
1055,1
1056,0
1057,2
1058,0
1059,2
1060,0
1061,1
1062,0
1063,0
1064,0
1065,0
1066,1
1067,2
1068,2
1069,2
1070,1
1071,1
1072,0
1073,1
1074,2
1075,1
1076,2
1077,1
1078,1
1079,2
1080,2
1081,1
1082,1
1083,0
1084,2
1085,0
1086,1
1087,2
1088,1
1089,2
1090,1
1091,0
1092,0
1093,0
1094,2
1095,2
1096,2
1097,0
1098,2
1099,1
1100,2
1101,0
1102,0
1103,1
1104,2
1105,2
1106,1
1107,1
1108,0
1109,2
1110,1
1111,2
1112,1
1113,0
1114,1
1115,1
1116,1
1117,1
1118,1
1119,2
1120,0
1121,0
1122,1
1123,1
1124,2
1125,1
1126,1
1127,2
1128,1
1129,2
1130,0
1131,1
1132,0
1133,1
1134,1
1135,1
1136,0
1137,1
1138,2
1139,0
1140,2
1141,2
1142,1
1143,1
1144,0
1145,0
1146,2
1147,1
1148,2
1149,1
1150,2
1151,1
1152,0
1153,0
1154,1
1155,2
1156,0
1157,1
1158,1
1159,2
1160,1
1161,0
1162,0
1163,2
1164,2
1165,0
1166,2
1167,0
1168,1
1169,2
1170,0
1171,2
1172,1
1173,0
1174,0
1175,0
1176,1
1177,0
1178,2
1179,0
1180,1
1181,2
1182,1
1183,2
1184,2
1185,1
1186,1
1187,1
1188,1
1189,0
1190,1
1191,2
1192,0
1193,1
1194,0
1195,2
1196,2
1197,2
1198,0
1199,0
1200,1
1201,1
1202,1
1203,2
1204,1
1205,0
1206,1
1207,2
1208,1
1209,2
1210,2
1211,2
1212,1
1213,0
1214,1
1215,2
1216,1
1217,1
1218,1
1219,2
